10.000000 9.949900 0.000000
9.950125 9.900250 0.010000
9.900498 9.850150 0.020000
9.851119 9.803850 0.030000
9.801987 9.752650 0.040000
9.753099 9.704000 0.050000
9.704455 9.657150 0.060000
9.656054 9.606900 0.070000
9.607894 9.557050 0.080000
9.559975 9.511400 0.090000
9.512294 9.464250 0.100000
9.464851 9.418250 0.110000
9.417645 9.375400 0.120000
9.370675 9.328650 0.130000
9.323938 9.283650 0.140000
9.277435 9.237800 0.150000
9.231163 9.193150 0.160000
9.185123 9.149100 0.170000
9.139312 9.103450 0.180000
9.093729 9.057500 0.190000
9.048374 9.011500 0.200000
9.003245 8.965950 0.210000
8.958341 8.920300 0.220000
8.913661 8.877200 0.230000
8.869204 8.834250 0.240000
8.824969 8.789450 0.250000
8.780954 8.747700 0.260000
8.737159 8.702600 0.270000
8.693582 8.661300 0.280000
8.650223 8.618800 0.290000
8.607080 8.575200 0.300000
8.564152 8.530950 0.310000
8.521438 8.489500 0.320000
8.478937 8.447300 0.330000
8.436648 8.404650 0.340000
8.394570 8.363600 0.350000
8.352702 8.325100 0.360000
8.311043 8.286450 0.370000
8.269591 8.245700 0.380000
8.228347 8.205250 0.390000
8.187308 8.164850 0.400000
8.146473 8.122000 0.410000
8.105842 8.081900 0.420000
8.065414 8.042050 0.430000
8.025188 8.002250 0.440000
7.985162 7.962850 0.450000
7.945336 7.922150 0.460000
7.905708 7.883450 0.470000
7.866279 7.843000 0.480000
7.827045 7.802650 0.490000
7.788008 7.763050 0.500000
7.749165 7.725050 0.510000
7.710516 7.686400 0.520000
7.672059 7.647250 0.530000
7.633795 7.610600 0.540000
7.595721 7.575900 0.550000
7.557837 7.536650 0.560000
7.520143 7.500950 0.570000
7.482636 7.461800 0.580000
7.445316 7.424450 0.590000
7.408182 7.386150 0.600000
7.371234 7.351600 0.610000
7.334470 7.315100 0.620000
7.297889 7.278000 0.630000
7.261490 7.242900 0.640000
7.225274 7.206900 0.650000
7.189237 7.172050 0.660000
7.153381 7.137500 0.670000
7.117703 7.100550 0.680000
7.082204 7.066400 0.690000
7.046881 7.028150 0.700000
7.011734 6.992950 0.710000
6.976763 6.955600 0.720000
6.941967 6.919750 0.730000
6.907343 6.886100 0.740000
6.872893 6.851700 0.750000
6.838614 6.819300 0.760000
6.804506 6.783700 0.770000
6.770569 6.752450 0.780000
6.736800 6.719850 0.790000
6.703200 6.684550 0.800000
6.669768 6.651300 0.810000
6.636503 6.619050 0.820000
6.603403 6.585700 0.830000
6.570468 6.553000 0.840000
6.537698 6.520200 0.850000
6.505091 6.488250 0.860000
6.472647 6.454800 0.870000
6.440364 6.421950 0.880000
6.408243 6.393400 0.890000
6.376282 6.360750 0.900000
6.344480 6.329750 0.910000
6.312836 6.297150 0.920000
6.281351 6.266500 0.930000
6.250023 6.236200 0.940000
6.218851 6.205850 0.950000
6.187834 6.172650 0.960000
6.156972 6.142950 0.970000
6.126264 6.114200 0.980000
6.095709 6.083200 0.990000
6.065307 6.053500 1.000000
6.035056 6.024100 1.010000
6.004956 5.994450 1.020000
5.975006 5.964300 1.030000
5.945205 5.933400 1.040000
5.915554 5.902600 1.050000
5.886050 5.872750 1.060000
5.856693 5.843650 1.070000
5.827483 5.814900 1.080000
5.798418 5.785500 1.090000
5.769498 5.754400 1.100000
5.740723 5.728250 1.110000
5.712091 5.701350 1.120000
5.683601 5.672600 1.130000
5.655254 5.643950 1.140000
5.627049 5.615350 1.150000
5.598984 5.587600 1.160000
5.571059 5.560150 1.170000
5.543273 5.531500 1.180000
5.515626 5.502650 1.190000
5.488116 5.473950 1.200000
5.460744 5.447350 1.210000
5.433509 5.420150 1.220000
5.406409 5.393150 1.230000
5.379444 5.366300 1.240000
5.352614 5.340100 1.250000
5.325918 5.314600 1.260000
5.299355 5.285850 1.270000
5.272924 5.259150 1.280000
5.246625 5.230900 1.290000
5.220458 5.204900 1.300000
5.194421 5.178900 1.310000
5.168513 5.152600 1.320000
5.142735 5.126400 1.330000
5.117086 5.103050 1.340000
5.091564 5.075700 1.350000
5.066170 5.049300 1.360000
5.040902 5.024750 1.370000
5.015761 4.999150 1.380000
4.990744 4.974450 1.390000
4.965853 4.950150 1.400000
4.941086 4.924500 1.410000
4.916442 4.900950 1.420000
4.891921 4.875850 1.430000
4.867523 4.852200 1.440000
4.843246 4.827300 1.450000
4.819090 4.804600 1.460000
4.795055 4.779850 1.470000
4.771139 4.753900 1.480000
4.747343 4.729400 1.490000
4.723666 4.705750 1.500000
4.700106 4.684300 1.510000
4.676664 4.660150 1.520000
4.653339 4.637600 1.530000
4.630131 4.612950 1.540000
4.607038 4.591950 1.550000
4.584060 4.568200 1.560000
4.561197 4.543700 1.570000
4.538448 4.520050 1.580000
4.515812 4.497050 1.590000
4.493290 4.473950 1.600000
4.470879 4.453000 1.610000
4.448581 4.431000 1.620000
4.426393 4.408650 1.630000
4.404317 4.387150 1.640000
4.382350 4.365700 1.650000
4.360493 4.344200 1.660000
4.338745 4.322600 1.670000
4.317105 4.301750 1.680000
4.295574 4.279450 1.690000
4.274149 4.259350 1.700000
4.252832 4.236600 1.710000
4.231621 4.215500 1.720000
4.210516 4.196350 1.730000
4.189515 4.175450 1.740000
4.168620 4.153800 1.750000
4.147829 4.131850 1.760000
4.127142 4.112350 1.770000
4.106558 4.091250 1.780000
4.086076 4.070350 1.790000
4.065697 4.049850 1.800000
4.045419 4.028700 1.810000
4.025242 4.008950 1.820000
4.005166 3.988000 1.830000
3.985190 3.967900 1.840000
3.965314 3.946650 1.850000
